TABLE_NAME,COLUMN_NAME
GS1Dtls,EndingNo
GS1Dtls,GS1CompanyPrefix
GS1Dtls,SlNO
GS1Dtls,StartingNo
HotKeys,FormId
HotKeys,FuncId
IncDefTable,IncName
IncDefTable,PersonnelCd
IncDefTable,PtypeDesc
IncentiveGrpItemDtls,IncName
IncentiveGrpItemDtls,SrlNo
IncShrmPeriodDtls,IncName
IncShrmPeriodDtls,PCode
IncShrmPeriodDtls,ShrmProfCd
IncShrmPeriodDtls,SrlNo
InPackSlipHdr,TrnCtrlNo
InPackSlipHdr,TrnType
InPackSlipTrn,SlipCrtnNo
InPackSlipTrn,SlipEntSrlNo
InPackSlipTrn,TrnCtrlNo
InPackSlipTrn,TrnType
ItemClassRestrict,ColumnName
ItemClassRestrict,UserId
ItemClassRestrict,Value
ItemMapping,HOAttrib
ItemMapping,HOAttrib1
ItemMapping,HOAttrib2
ItemMapping,HOCode
ItemMapping,MapType
ItemMapping,PosAttrib1
ItemMapping,PosAttrib2
ItemMappingRules,Condition
ItemMappingRules,HoAttrib
ItemMappingRules,HOCode
ItemMappingRules,NewCode
ItemMappingRules,POSAttrib
ItemMappingRules,ReceivedCode
ItemMaster,BatchSrlNo
ItemMaster,StockNo
ItemMasterConfig,FId
ItemMasterExtd01,BatchNo
ItemMasterExtd01,GradeCd
ItemMasterExtd01,StockNo
ItemReClassConfig,FldId
ItemReClassDtls,FRIndicator
ItemReClassDtls,FRIndSrlNo
ItemReClassDtls,IRCId
ItemReClassDtls,SrlNo
ItemReClassHeader,IRCId
ItemsFromHO,StockNo
ItemTagConfig,Class1Cd
ItemTagConfig,Class2Cd
ItemTagConfig,FieldSrlNo
ItemTagConfig,TrnType
ItemTagConfigFromHO,Class1Cd
ItemTagConfigFromHO,Class2Cd
ItemTagConfigFromHO,FieldSrlNo
ItemTagConfigFromHO,TrnType
ItemTagDtls,Class1Cd
ItemTagDtls,Class2Cd
ItemTagDtls,ItemTag1
KPIDtls,DocDt
KPIDtls,ShowRoomCode
LogAgentActivity,LogSrlNo
LogDataExtractDetail,logsrlno
LogDataExtractsummary,RunNumber
LogDataSync,logsrlno
logdbtuningconfig,srlno
LogTilldtls,Nodeid
LogTilldtls,TillTrndt
logwgsync,shoperdt
logwgsync,syncdt
logwgsync,syncfilename
MailingList,RecNo
MessageCentre,MsgId
MessageCentre,MsgSource
MessageCentreLog,MsgId
MessageCentreLog,MsgSource
MessageCentreLog,SrlNo
MissingDocNo,DocDt
MissingDocNo,Docno
MissingDocNo,DocNoPrefix
MissingDocNo,TableType
MissingDocNo,TrnType
MonthSummary,BatchNo
MonthSummary,GradeCd
MonthSummary,LocationCd
MonthSummary,MonthNo
MonthSummary,StockNo
MonthSummary,Yr
MultiplePrices,DestCompCode
MultiplePrices,DocNo
MultiplePrices,SlabNo
MultiplePrices,SourceCompCode
MultiplePrices,StockNo
ONACCcrdtntLinktbldtls,srlno
ONACCcrdtntLinktbldtls,subsrlno
ONACCcrdtntLinktbldtls,trnctrlno
ONACCcrdtntLinktbldtls,trntype
ONACCcrdtntLinktblhdr,srlno
ONACCcrdtntLinktblhdr,trnctrlno
ONACCcrdtntLinktblhdr,trntype
paymodeacceptconfig,acptpaymode
paymodeacceptconfig,trntype
PaymodeAcceptDisplayDtls,Index
PaymodeAcceptDisplayDtls,paycode
PaymodeAcceptDisplayDtls,paymode
PaymodeAcceptDisplayDtlsextd,Index
PaymodeAcceptDisplayDtlsextd,paycode
PaymodeAcceptDisplayDtlsextd,paymode
PayModeConfig,PayModeType
PayTermsCat,RecNo
PCBillDtls,PosCtrlNo
PCBillDtls,PosDocNo
PCBillDtls,PosDocNoPrefix
PCBillDtls,PosEntryType
PCBillDtls,SrlNo
PDTFieldConfig,FieldCaption
PDTFieldConfig,FieldId
PDTFieldConfig,Trntype
Personnel,Code
PersonnelShrmWise,ShrmCode
PersonnelShrmWise,SMCode
PersonnelShrmWise,SrlNo
PgmWiseFeatureDtls,FeatureId
PgmWiseFeatureDtls,ProgramId
PgmWiseFeatureDtls,SrlNo
PHYSTKDL,StockNo
PhyStockTakingItemBkUp,BatchSrlNo
PhyStockTakingItemBkUp,ScopeId
PhyStockTakingItemBkUp,StockNo
PhyStockTakingItemBkUp01,EntSrlNo
PhyStockTakingItemBkUp01,ScopeId
POSActivityLogDtls,CtrlNumber
POSActivityLogDtls,SrlNo
POSActivityLogHdr,CtrlNumber
POSCashTrn,CtrlNo
POSCashTrn,EntryType
POSCashTrn,EntSrlNo
PosCashTrnExtd01,CtrlNo
PosCashTrnExtd01,EntryType
PosCashTrnExtd01,EntSrlNo
PosCashTrnExtd01,EntSubSrlNo
POSMODEDATADTLS,FLD1
POSMODEDATADTLS,FLD6
POSPayModes,PayModeCode
POSPayModes,PayModeType
PrefixConfig,SlNo
PrefixMaster,OPId
PrefixMaster,Srlno
PrefixMaster,TerminalGroupId
PrefixMaster,Trntype
PrefixTerminalGroups,SrlNo
PrefixTerminalGroups,TerminalGroupId
PrefixTrnLog,Fld1
PrefixTrnLog,Fld2
PrefixTrnLog,Fld4
PrefixTrnNo,ActualPrefix
PrefixTrnNo,TrnType
PriceRange,DocNo
PriceRange,DocNoPrefix
PriceRange,PriceType
PriceRange,SrlNo
PriceRangeCatDtls,PRCatId
PriceRangeCatDtls,SrlNo
PriceRangeSettings,FldId
PriceRangeSettings,FldType
PriceRevision,DestCompCode
PriceRevision,DocNo
PriceRevision,FileNumber
PriceRevision,SerialNumber
PriceRevision,SourceCompCode
PriceRevisionHistory,DestCompCode
PriceRevisionHistory,DocNo
PriceRevisionHistory,FileNumber
PriceRevisionHistory,SerialNumber
PriceRevisionHistory,SourceCompCode
PrintBusinessHandlerMaster,BusHandlerId
PrintConfigSetting,ConfigParamID
PrintConfigSetting,ConfigSettingID
PrintConfigSettingMaster,ConfigSettingID
PrintLinkedRefInterface,BusHandlerId
PrintLinkedRefInterface,ConfigSettingID
PrintLinkedRefInterface,LinkedRefID
PrintLinkedRefInterface,RenHandlerID
PrintNodeTrnConfigMaster,LinkedRefID
PrintNodeTrnConfigMaster,NodeID
PrintNodeTrnConfigMaster,TrnTypeIdentifier
PrintRendererMaster,RenHandlerID
PrintTemplateConfigDtls,LinkRefID
PrintTemplateConfigDtls,TemplateName
PrintTemplateConfigDtls,TerminalID
PrintTemplateConfigDtls,TrnType
PromoArApplCustDtls,SalesPromoCode
PromoArApplCustDtls,SalesPromoSrlNo
PromoArApplCustDtls,SrlNo
PromoArBillLvlDiscDtls,SalesPromoCode
PromoArBillLvlDiscDtls,SalesPromoSrlNo
PromoArBillLvlDiscDtls,SrlNo
PromoArBuyItemGrpDtls,SalesPromoCode
PromoArBuyItemGrpDtls,SalesPromoSrlNo
PromoArBuyItemGrpDtls,SrlNo
PromoArGetItemGrpDtls,SalesPromoCode
PromoArGetItemGrpDtls,SalesPromoSrlNo
PromoArGetItemGrpDtls,SrlNo
PromoArHeader,SalesPromoCode
PromoArHeader,SalesPromoSrlNo
PromoArItemLvlDiscDtls,SalesPromoCode
PromoArItemLvlDiscDtls,SalesPromoSrlNo
PromoArItemLvlDiscDtls,SrlNo
PromoArShowroomDtls,SalesPromoCode
PromoArShowroomDtls,SalesPromoSrlNo
PromoArShowroomDtls,SrlNo
PromoLogApplCustDtls,SalesPromoCode
PromoLogApplCustDtls,SalesPromoSrlNo
PromoLogApplCustDtls,SrlNo
PromoLogBillLvlDiscDtls,SalesPromoCode
PromoLogBillLvlDiscDtls,SalesPromoSrlNo
PromoLogBillLvlDiscDtls,SrlNo
PromoLogBuyItemGrpDtls,SalesPromoCode
PromoLogBuyItemGrpDtls,SalesPromoSrlNo
PromoLogBuyItemGrpDtls,SrlNo
PromoLogGetItemGrpDtls,SalesPromoCode
PromoLogGetItemGrpDtls,SalesPromoSrlNo
PromoLogGetItemGrpDtls,SrlNo
PromoLogHeader,SalesPromoCode
PromoLogHeader,SalesPromoSrlNo
PromoLogItemLvlDiscDtls,SalesPromoCode
PromoLogItemLvlDiscDtls,SalesPromoSrlNo
PromoLogItemLvlDiscDtls,SrlNo
PromoLogShowroomDtls,SalesPromoCode
PromoLogShowroomDtls,SalesPromoSrlNo
PromoLogShowroomDtls,SrlNo
PromoMnApplCustDtls,SalesPromoCode
PromoMnApplCustDtls,SrlNo
PromoMnBillLvlDiscDtls,SalesPromoCode
PromoMnBillLvlDiscDtls,SrlNo
PromoMnBuyItemGrpDtls,SalesPromoCode
PromoMnBuyItemGrpDtls,SrlNo
PromoMnGetItemGrpDtls,SalesPromoCode
PromoMnGetItemGrpDtls,SrlNo
PromoMnHeader,SalesPromoCode
PromoMnItemLvlDiscDtls,SalesPromoCode
PromoMnItemLvlDiscDtls,SrlNo
PromoMnShowroomDtls,SalesPromoCode
PromoMnShowroomDtls,SrlNo
PtInvoiceDtl,BillDate
PtInvoiceDtl,BillNo
PtInvoiceDtl,SrlNo
PtInvoiceDtl,SuppCode
PtInvoiceDtl,TrnType
PtInvoiceExtd01,BillDate
PtInvoiceExtd01,BillNo
PtInvoiceExtd01,ShowroomCode
PtInvoiceExtd01,SrlNo
PtInvoiceExtd01,SubSrlNo
PtInvoiceExtd01,SuppCode
PtInvoiceExtd01,TrnType
PtInvoiceHdr,BillDate
PtInvoiceHdr,BillNo
PtInvoiceHdr,SuppCode
PtInvoiceHdr,TrnType
PurchaseTaxCat,DestTaxType
PurchaseTaxCat,ProdTaxType
PurchaseTaxCat,SrcTaxType
PurchOrdDtl,DeliveryLocation
PurchOrdDtl,EntrySrlNo
PurchOrdDtl,EntrySubSrlNo
PurchOrdDtl,POCtrlNo
PurchOrdDtl,PONoPrefix
PurchOrdDtl,PoType
PurchOrdHdr,POCtrlNo
PurchOrdHdr,PONoPrefix
PurchOrdHdr,PoType
PurchOrdTrl,EntrySrlNo
PurchOrdTrl,POCtrlNo
PurchOrdTrl,PONoPrefix
PurgeLogDtls,CtrlNumber
PurgeLogDtls,SrlNo
PurgeLogHdr,CtrlNumber
ReportConfigPreferences,TaskId
ReportConfigPreferences,UserId
ReportConfigSettings,ConfigId
ReportConfigSettings,TaskId
ReportDates,SNO
RptSelFileName,ExeName
RptSelFileName,FileName
SalesFactors,RecNo
SalesTaxCat,DestTaxType
SalesTaxCat,ProdTaxType
SalesTaxCat,SrcTaxType
SalesTaxRevision,DestTaxType
SalesTaxRevision,ProdTaxType
SalesTaxRevision,SrcTaxType
SalesTaxRevision,TaxRevisionId
SalesTaxRevisionHistory,DestTaxType
SalesTaxRevisionHistory,ProdTaxType
SalesTaxRevisionHistory,SrcTaxType
SalesTaxRevisionHistory,TaxRevisionId
SaleTrnHdr,SaleTrnCtrlNo
SaleTrnHdr,SaleTrnType
SchemesDefinitionDtls,SchemeCode
SchemesDefinitionDtls,SrlNo
SchemesDefinitionHdr,SchemeCode
SchemesPointsSlabs,SchemeCode
SchemesPointsSlabs,SlabType
SchemesPointsSlabs,SrlNo
SeasonsMaster,SeasonsName
ShoperScriptUpdateInfo,RunSrl
ShoperScriptUpdateInfo,ScriptID
ShrmScript,ScriptBlockId
ShrmScript,SrlNo
SISStatus,RunNo
SizeCat,Class1Cd
SizeCat,Class2Cd
SizeCat,SizeCd
SizeEntryFieldsConfig,EntryType
SizeEntryFieldsConfig,FieldSrlNo
SizeEntryFieldsConfig,TrnType
StkTrnAddlDtls,EntSrlNo
StkTrnAddlDtls,TrnDocNo
StkTrnAddlDtls,TrnDocNoPrefix
StkTrnAddlDtls,TrnType
StkTrnAddlHdr,TrnCtrlNo
StkTrnAddlHdr,TrnType
StkTrnDtls,DocNo
StkTrnDtls,DocNoPrefix
StkTrnDtls,EntSrlNo
StkTrnDtls,TrnCtrlNo
StkTrnDtls,TrnType
StkTrnDtlsExtd01,EntSrlNo
StkTrnDtlsExtd01,ItemTagSrlNo
StkTrnDtlsExtd01,TrnCtrlNo
StkTrnDtlsExtd01,TrnType
StkTrnEDDtls,EntSrlNo
StkTrnEDDtls,TrnCtrlNo
StkTrnEDDtls,TrnType
StkTrnEDhdr,TrnCtrlNo
StkTrnEDhdr,TrnType
StkTrnHdr,TrnCtrlNo
StkTrnHdr,TrnType
StockCreditNote,DocEntSrlNo
StockCreditNote,DocNo
StockCreditNote,DocNoPrefix
StockMaster,BatchSrlNo
StockMaster,LocnId
StockMaster,StockNo
StockMasterExtd,BatchSrlno
StockMasterExtd,StockNo
StockMasterExtd01,BatchNo
StockMasterExtd01,GradeCd
StockMasterExtd01,LocationCd
StockMasterExtd01,StockNo
StockMasterExtd02,BatchNo
StockMasterExtd02,GradeCd
StockMasterExtd02,ItemTag1
StockMasterExtd02,LocationCd
StockMasterExtd02,StockNo
StockMasterExtdOpBal,BatchNo
StockMasterExtdOpBal,GradeCd
StockMasterExtdOpBal,LocationCd
StockMasterExtdOpBal,StockNo
SubClass1Cat,Class1Cd
SubClass1Cat,Class2Cd
SubClass1Cat,SubClass1Cd
SubClass2Cat,Class1Cd
SubClass2Cat,Class2Cd
SubClass2Cat,SubClass2Cd
SysParam,Id
SysParamExtd,Id
TallyExportedTrans,TrnType
TallyExportedTrans,VoucherNo
TallyHSNRules,MapId
TallyMapPurchTaxCat,MapName
TallyMapPurchTaxCat,TaxComponent
TallyMapSettingInfo,MapName
TallyMapSettingInfo,PostStartDate
TallyMasterInfo,Alias
TallyPostingSettings,SlNo
TallyPostingSettings,TranType
TallyPrintConfigDetails,ConfigName
TallyPrintConfigDetails,ParamName
TallyPrintConfigHeader,ConfigName
TallyPrintConfigHeader,Terminal
TallyPrintConfigHeader,TrnType
TallyVchInfo,MapName
TallyVchInfo,TrnType
TallyVchInfo,VchGUID
TallyVchInfo,VchID
TillAcceptDisplaydtls,Tillindex
TillAcceptDisplaydtls,TillTrntype
TillOperationJournalDtls,srlno
TillOperationJournalDtls,TillTrnctrlno
TillOperationJournalDtls,TillTrndt
TillOperationJournalDtls,TillTrntype
TillOperationJournalHdr,TillTrnctrlno
TillOperationJournalHdr,TillTrndt
TillOperationJournalHdr,TillTrntype
TillShiftdtls,Nodeid
TillShiftdtls,shiftno
TillShiftdtls,TillTrndt
TillTrnswiseDenomination,srlno
TillTrnswiseDenomination,subsrlno
TillTrnswiseDenomination,TillTrnctrlno
TillTrnswiseDenomination,Tilltrndt
TillTrnswiseDenomination,TillTrntype
